date,cumulative_cases,daily_cases
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,2,2.0
2020-02-01,2,0.0
2020-02-02,2,0.0
2020-02-03,2,0.0
2020-02-04,2,0.0
2020-02-05,2,0.0
2020-02-06,2,0.0
2020-02-07,3,1.0
2020-02-08,3,0.0
2020-02-09,3,0.0
2020-02-10,3,0.0
2020-02-11,3,0.0
2020-02-12,3,0.0
2020-02-13,3,0.0
2020-02-14,3,0.0
2020-02-15,3,0.0
2020-02-16,3,0.0
2020-02-17,3,0.0
2020-02-18,3,0.0
2020-02-19,3,0.0
2020-02-20,3,0.0
2020-02-21,20,17.0
2020-02-22,62,42.0
2020-02-23,155,93.0
2020-02-24,229,74.0
2020-02-25,322,93.0
2020-02-26,453,131.0
2020-02-27,655,202.0
2020-02-28,888,233.0
2020-02-29,1128,240.0
2020-03-01,1694,566.0
2020-03-02,2036,342.0
2020-03-03,2502,466.0
2020-03-04,3089,587.0
2020-03-05,3858,769.0
2020-03-06,4636,778.0
2020-03-07,5883,1247.0
2020-03-08,7375,1492.0
2020-03-09,9172,1797.0
2020-03-10,10149,977.0
2020-03-11,12462,2313.0
2020-03-12,15113,2651.0
2020-03-13,17660,2547.0
2020-03-14,21157,3497.0
2020-03-15,24747,3590.0
2020-03-16,27980,3233.0
2020-03-17,31506,3526.0
2020-03-18,35713,4207.0
2020-03-19,41035,5322.0
2020-03-20,47021,5986.0
2020-03-21,53578,6557.0
2020-03-22,59138,5560.0
2020-03-23,63927,4789.0
2020-03-24,69176,5249.0
2020-03-25,74386,5210.0
2020-03-26,80589,6203.0
2020-03-27,86498,5909.0
2020-03-28,92472,5974.0
2020-03-29,97689,5217.0
2020-03-30,101739,4050.0
2020-03-31,105792,4053.0
2020-04-01,110574,4782.0
2020-04-02,115242,4668.0
2020-04-03,119827,4585.0
2020-04-04,124632,4805.0
2020-04-05,128948,4316.0
2020-04-06,132547,3599.0
2020-04-07,135586,3039.0
2020-04-08,139422,3836.0
2020-04-09,143626,4204.0
2020-04-10,147577,3951.0
2020-04-11,152271,4694.0
2020-04-12,156363,4092.0
2020-04-13,159516,3153.0
2020-04-14,162488,2972.0
2020-04-15,165155,2667.0
2020-04-16,168941,3786.0
2020-04-17,172434,3493.0
2020-04-18,175925,3491.0
2020-04-19,178972,3047.0
2020-04-20,181228,2256.0
2020-04-21,183957,2729.0
2020-04-22,187327,3370.0
2020-04-23,189973,2646.0
2020-04-24,192994,3021.0
2020-04-25,195351,2357.0
2020-04-26,197675,2324.0
2020-04-27,199414,1739.0
2020-04-28,201505,2091.0
2020-04-29,203591,2086.0
2020-04-30,205463,1872.0
2020-05-01,207428,1965.0
2020-05-02,209328,1900.0
2020-05-03,210717,1389.0
2020-05-04,211938,1221.0
2020-05-05,213013,1075.0
2020-05-06,214457,1444.0
2020-05-07,215858,1401.0
2020-05-08,217185,1327.0
2020-05-09,218268,1083.0
2020-05-10,219070,802.0
2020-05-11,219814,744.0
2020-05-12,221216,1402.0
2020-05-13,222104,888.0
2020-05-14,223096,992.0
2020-05-15,223885,789.0
2020-05-16,224760,875.0
2020-05-17,225435,675.0
2020-05-18,225886,451.0
2020-05-19,226699,813.0
2020-05-20,227364,665.0
2020-05-21,228006,642.0
2020-05-22,228658,652.0
2020-05-23,229327,669.0
2020-05-24,229858,531.0
2020-05-25,230158,300.0
2020-05-26,230555,397.0
2020-05-27,231139,584.0
2020-05-28,231732,593.0
2020-05-29,232248,516.0
2020-05-30,232664,416.0
2020-05-31,232997,333.0
2020-06-01,233197,200.0
2020-06-02,233515,318.0
2020-06-03,233836,321.0
2020-06-04,234013,177.0
2020-06-05,234531,518.0
2020-06-06,234801,270.0
2020-06-07,234998,197.0
2020-06-08,235278,280.0
2020-06-09,235561,283.0
2020-06-10,235763,202.0
2020-06-11,236142,379.0
2020-06-12,236305,163.0
2020-06-13,236651,346.0
2020-06-14,236989,338.0
2020-06-15,237290,301.0
2020-06-16,237500,210.0
2020-06-17,237828,328.0
2020-06-18,238159,331.0
2020-06-19,238011,-148.0
