t_beat,rr_ms,abs_drr,z_rr,z_abs_drr
69931,1024.0,0.0,-0.4656710190817718,-0.7696028436344046
69932,1008.0,16.0,-0.5706516645631288,-0.5490354297140548
69933,1000.0,8.0,-0.6231419873038073,-0.6593191366742297
69934,976.0,24.0,-0.7806129555258429,-0.4387517227538799
69935,992.0,16.0,-0.6756323100444859,-0.5490354297140548
69936,952.0,40.0,-0.9380839237478784,-0.2181843088335302
69937,920.0,32.0,-1.1480452147105926,-0.328468015793705
69938,920.0,0.0,-1.1480452147105926,-0.7696028436344046
69939,944.0,24.0,-0.990574246488557,-0.4387517227538799
69940,984.0,40.0,-0.7281226327851644,-0.2181843088335302
69941,976.0,8.0,-0.7806129555258429,-0.6593191366742297
69942,960.0,16.0,-0.8855936010072,-0.5490354297140548
69943,952.0,8.0,-0.9380839237478784,-0.6593191366742297
69944,912.0,40.0,-1.200535537451271,-0.2181843088335302
69945,1024.0,112.0,-0.4656710190817718,0.7743690538080437
69946,968.0,56.0,-0.8331032782665214,0.0023831050868195
69947,960.0,8.0,-0.8855936010072,-0.6593191366742297
69948,968.0,8.0,-0.8331032782665214,-0.6593191366742297
69949,960.0,8.0,-0.8855936010072,-0.6593191366742297
69950,944.0,16.0,-0.990574246488557,-0.5490354297140548
69951,960.0,16.0,-0.8855936010072,-0.5490354297140548
69952,968.0,8.0,-0.8331032782665214,-0.6593191366742297
69953,992.0,24.0,-0.6756323100444859,-0.4387517227538799
69954,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
69955,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
69956,1000.0,24.0,-0.6231419873038073,-0.4387517227538799
69957,968.0,32.0,-0.8331032782665214,-0.328468015793705
69958,1072.0,104.0,-0.1507290826377006,0.6640853468478688
69959,1032.0,40.0,-0.4131806963410933,-0.2181843088335302
69960,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
69961,976.0,48.0,-0.7806129555258429,-0.1079006018733553
69962,960.0,16.0,-0.8855936010072,-0.5490354297140548
69963,992.0,32.0,-0.6756323100444859,-0.328468015793705
69964,1016.0,24.0,-0.5181613418224503,-0.4387517227538799
69965,976.0,40.0,-0.7806129555258429,-0.2181843088335302
69966,976.0,0.0,-0.7806129555258429,-0.7696028436344046
69967,984.0,8.0,-0.7281226327851644,-0.6593191366742297
69968,1016.0,32.0,-0.5181613418224503,-0.328468015793705
69969,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
69970,984.0,48.0,-0.7281226327851644,-0.1079006018733553
69971,1024.0,40.0,-0.4656710190817718,-0.2181843088335302
69972,984.0,40.0,-0.7281226327851644,-0.2181843088335302
69973,1000.0,16.0,-0.6231419873038073,-0.5490354297140548
69974,968.0,32.0,-0.8331032782665214,-0.328468015793705
69975,936.0,32.0,-1.0430645692292355,-0.328468015793705
69976,936.0,0.0,-1.0430645692292355,-0.7696028436344046
69977,944.0,8.0,-0.990574246488557,-0.6593191366742297
69978,944.0,0.0,-0.990574246488557,-0.7696028436344046
69979,976.0,32.0,-0.7806129555258429,-0.328468015793705
69980,984.0,8.0,-0.7281226327851644,-0.6593191366742297
69981,1032.0,48.0,-0.4131806963410933,-0.1079006018733553
69982,1024.0,8.0,-0.4656710190817718,-0.6593191366742297
69983,1024.0,0.0,-0.4656710190817718,-0.7696028436344046
69984,968.0,56.0,-0.8331032782665214,0.0023831050868195
69985,960.0,8.0,-0.8855936010072,-0.6593191366742297
69986,1096.0,136.0,0.0067418855843349,1.105220174688568
69987,1024.0,72.0,-0.4656710190817718,0.2229505190071692
69988,992.0,32.0,-0.6756323100444859,-0.328468015793705
69989,968.0,24.0,-0.8331032782665214,-0.4387517227538799
69990,952.0,16.0,-0.9380839237478784,-0.5490354297140548
69991,960.0,8.0,-0.8855936010072,-0.6593191366742297
69992,968.0,8.0,-0.8331032782665214,-0.6593191366742297
69993,1008.0,40.0,-0.5706516645631288,-0.2181843088335302
69994,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
69995,1032.0,16.0,-0.4131806963410933,-0.5490354297140548
69996,1064.0,32.0,-0.2032194053783791,-0.328468015793705
69997,1040.0,24.0,-0.3606903736004147,-0.4387517227538799
69998,1032.0,8.0,-0.4131806963410933,-0.6593191366742297
69999,1008.0,24.0,-0.5706516645631288,-0.4387517227538799
70000,1024.0,16.0,-0.4656710190817718,-0.5490354297140548
70001,1016.0,8.0,-0.5181613418224503,-0.6593191366742297
